GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SOLR - Advanced Numbers Filter,com.mriss.dsh.solr.numberfilter,AdvancedNumberFilterTest.new TokenStream() {...},2,6,0,0,1,1,1,1,1,1
SOLR - Advanced Numbers Filter,com.mriss.dsh.solr.numberfilter,AdvancedNumberFilterTest,0,216,0,0,0,50,0,10,0,10
SOLR - Advanced Numbers Filter,com.mriss.dsh.solr.numberfilter,AdvancedNumberFilterFactory,0,13,0,0,0,4,0,3,0,3
SOLR - Advanced Numbers Filter,com.mriss.dsh.solr.numberfilter,AdvancedNumberFilterFactoryTest,0,72,0,0,0,21,0,6,0,6
SOLR - Advanced Numbers Filter,com.mriss.dsh.solr.numberfilter,AdvancedNumberFilterFactoryTest.new TokenStream() {...},2,6,0,0,1,1,1,1,1,1
SOLR - Advanced Numbers Filter,com.mriss.dsh.solr.numberfilter,AdvancedNumberFilter,0,101,0,14,0,20,0,13,0,6
